id,Category,Title,Description,Text,Photo,Year,Director,Trailer,Awards,Title_ru,Text_ru,Director_ru,Awards_ru
1,Animation,Zheruiyk,A. Abeldinov. 2014,"About the stories of a Kazakh giant who traveled around the world. A Kazakh giant named Asan, riding an ox, travels across the continents of Africa, America, and Eurasia in search of Earth. In the end, he realizes that there is no better place on earth than the Kazakh steppe and returns to his native place. The film has a touch of patriotism.",https://static.tildacdn.com/stor3533-3563-4337-b139-383766343635/92890474.png,2014,A. Abeldinov,,"Best Screenplay, Kulager National Cinematographic Award, Kazakhstan, 2015",Жеруйык,"Об истории казахского великана, который путешествовал по миру. Казахский великан по имени Асан верхом на быке путешествует по континентам Африки, Америки и Евразии в поисках Земли. В конце концов он понимает, что нет лучшего места на земле, чем казахская",А. Абельдинов,"Лучший сценарий, Национальная кинематографическая премия Кулагер, Казахстан, 2015 г."
2,Animation,The Ram and the Goat,B. Daurenbekov. 2014,"A sequel to the 2009 film ""The Ram and the Goat"". One day their master disappears. Ram and Goat set off in search of a shawl. The same two wolves, who knew they were coming, tied the crippled man to a willow tree and waited. They wanted to take revenge on Koshkar and Teke and invited two more blue-eyed ones to visit. Now four wolves appear for both of them. Bull comes to help Ram and Goat. Wolves had also stolen his baby (calf)... Thanks to their unity, they defeated the wolves and saved their master.",https://static.tildacdn.com/stor3862-6435-4534-b163-373931336266/47332097.png,2014,B. Daurenbekov,,,Баран и козёл,"Продолжение фильма 2009 года ""Баран и козел"". Однажды их хозяин исчезает. Баран и козел отправились на поиски хозяина. Благодаря своему единству они победили волков и спасли своего хозяина.",Б.Дауренбеков,
3,Animation,Tastulek,"T. Maidan, T. Toleugazy. 2014","A story about a golden eagle and a falconer. ""Tastulek"" can be said to be an ethnographic film for children. The film was directly related to the fun of taming an eagle.",https://static.tildacdn.com/tild3863-3532-4531-b661-636438383335/557b2bc5a4fc7c445c92.jpeg,2014,"T. Maidan, T. Toleugazy",,,Тастулек,"История о беркуте и сокольнике. ""Тастулек"" можно назвать этнографическим фильмом для детей. Фильм был напрямую связан с забавой укрощения орла.","Т. Майдан, Т. Толеугазы",
4,Animation,Farhat's trick,B. Daurenbekov. 2014,"An Uzbek king decreed that he would give his daughter to a man who passed the test. But the king's demands were unreasonable. It was impossible to do it. But a poor man named Farhad decided to take a risk. In the beginning, everyone mocks Farhad as a king's daughter. In the end, Farhad, who managed to overcome many challenges with ingenuity, achieves his goal.",https://static.tildacdn.com/stor3838-3764-4162-a562-383364373661/51611141.png,2014,B. Daurenbekov,,,Уловка Фархата,"Узбекский царь постановил, что отдаст свою дочь мужчине, который пройдет испытание. Но требования короля были непомерные. Это было невозможно сделать. Но бедный человек по имени Фархад решил рискнуть. Вначале все насмехались над Фархадом. В конце концов Ф",Б. Дауренбеков,
5,Animation,Kazakhstan is our home,J. Danenov. 2014,"The film briefly and graphically tells about our multi-national Republic of Kazakhstan, from nomads to our days.",https://static.tildacdn.com/stor3062-3164-4332-a639-663964613333/51453711.png,2014,J. Danenov,,,Казахстан - наш общий дом,"Фильм кратко и образно рассказывает, от кочевья до наших дней о нашей многонациональной Республике Казахстан.",Ж.Даненов,
6,Animation,Three gifts,D. Kishkentaev. 2014,"Based on a Korean folk tale about a beautiful and intelligent girl An Rang Du, who fell in love with three young men. On the advice of an old wise soothsayer, she gives three coins to the young men so that they buy her a present. Whose gift is better, he will be her chosen one.",https://static.tildacdn.com/stor3537-3965-4237-a638-383033373461/93614497.png,2014,D. Kishkentaev,,,Три подарка,"По мотивам корейкой народной сказки, о красивой и умной девушке Ан Ран Дю, которую полюбили трое юношей. По совету старого мудреца-предсказателя, она дает три монеты юношам, стобы они купили ей подарок. Чей подарок будет лучше, тот и будет ее избранником.",Д.Кишкентаев,
7,Animation,Kokserek,S. Myrzashev. 2015,"The basis of the animated film, which is being made based on Mukhtar Auezov's work ""Kokserek"", is that nature has its own laws, and that those laws do not yield to humans.",https://static.tildacdn.com/tild3939-3631-4362-b135-316265343535/sddefault.jpeg,2015,S. Myrzashev,,,Коксерек,,С. Мырзашев,
8,Animation,Anuar and Musa,"Y. Thai, R. Usmanov. 2015","Based on the Tatar folk tale. Anuar finds a frozen cow in the winter forest and saves her from inevitable death. What is his surprise when the neighbor, cunning and evil Musa, declares that the cow belongs to him. Musa competes with Anuar for the title of the best owner of the cow, while Anuar becomes a real friend.",https://static.tildacdn.com/stor6632-6139-4264-b332-326431636235/50752326.png,2015,"Y. Thai, R. Usmanov",,,Анвар и Муса,"По мотивам татарской народной сказки.Анвар находит в зимнем лесу замерзшую корову и спасает ее от неминуемой гибели. Каково же его удивление, когда сосед, хитрый и злой Муса, заявляет, что корова принадлежит ему. Муса вступает в состязание с Анваром за зв","Ю.Тхай, Р. Усманов",
9,Animation,Burshak,S. Myrzashev. 2015,"Based on a Ukrainian folk tale, the film describes the exploits of a hero named Burshak. With the help of mighty power, Burshak saves his mother and six brothers from the dragon. Thus, the hero returns to himself loved ones. The film encourages people to be cordial towards relatives.",https://static.tildacdn.com/stor6165-3835-4262-b339-653062626138/51216260.png,2015,S. Myrzashev,,,Буршак,"По мотивам украинской народной сказки, – в фильме описываются подвиги богатыря по имени Буршак. С помощю могущей силы Буршак спасает от дракона свою мать и шестерых братьев. Таким образом богатырь возвращает себе близких людей. Фильм призывает людей быть",С. Мырзашев,
10,Animation,A cat whose owner has returned,T. Tlek. 2015,"Based on a Russian folk tale, the plot of the animation film develops through the prism of the relationship between the owner and the cat. Angry owner for the pranks of his cat, decides to leave him in the forest. The foal, who did not approve of the owner's decision, decides to stay with the cat in the forest. They lived in the forest thanks to dexterity and intelligence. One day they are in the forest saving their master from the mouth of a bear. Realizing his guilt, the owner of the foal and the cat brings them back home. The film will call the audience to friendship and mutual respect.",https://static.tildacdn.com/stor3166-3461-4265-b331-396533373465/15724849.png,2015,T. Tlek,,,"Кот, завернутый хозяином","По мотивам русской народной сказки, – сюжет фильма разивается в сквозь призму отношений между хозяином и котом. Рассерженный хозяин за шалости своего кота, решает бросить его в лесу. Жеребенок не одобривший решение хозяина, решает остатся с котом в лесу.",Т.Тлек,
11,Animation,On the way to happiness,M. Turdybekov. 2015,"The film is based on a German folk tale - in the German state there lived a young, kind king. He never closed his eyes guarding his state. However, his enemies suddenly steal the sacred ball from him and turn him into a frog. The sacred ball, overcoming all hardships and difficulties, will finally fall into the hands of the king. The sacred ball, before falling into the hands of the king, goes a long way. And this path is the path of happiness.",https://static.tildacdn.com/stor6136-3933-4462-b466-616239653032/38825893.png,2015,M. Turdybekov,,,На пути к счастью,"Фильм по мотивам немецкой народной сказки, – в немецком государстве жил -был один молодой, добрый царь. Он не смыкая глаз охранял свое государство. Однако его враги, внезапно крадут у него священный шар, а самого превращают в лягушку. Священный шар преодо",М. Турдыбеков,
12,Animation,City on the carpet,A. Abildinov. 2015,"Based on the Uyghur folk tale, in ancient times, danger hung over the Uyghur people. The Uighur Khan sends his young son on a journey for the bright future of his people. He wanted his son, the future heir to the throne, to know the world, so that he could see with his own eyes how other peoples live. And to be able to tell the good from the bad. Many years later, the young heir returns to his homeland. And he sees that his people were attacked by enemies. The fate of the people hangs in the balance. The future khan fights enemies and saves his people. In battle, he is helped by the experience that he gained during the journey. The moral of the film is to educate the younger generation of love for the motherland.",https://static.tildacdn.com/stor3738-3961-4438-b131-643435386562/72835685.png,2015,A. Abildinov,,,Город на ковре,"По мотивам уйгурской народной сказки, – в давние времена над уйгурским народом нависла опасность. Уйгурский хан ради светлого будущего своего народа отправляет молодого сына в путешествие. Он хотел чтобы его сын, будущий наследник престола познал мир, что",А. Абильдинов,
13,Animation,Fate,J. Nurbekuly. 2015,"The film is based on a Turkish folk tale. The film describes the complex relationship between the king and the prince, and the daughter of the royal palace cook. The prince falls in love with the cook. The king, who did not approve of the choice of his son, the prince, makes an attempt on the girl-cook. At the behest of fate, the girl, the cook, who remained unharmed, will leave for a distant island, and build a huge palace there. Helps the poor. The king, having learned about the noble deeds of the girl, recognizes in her the girl-cook. And the prince makes a marriage proposal to the girl. Seeing two couples in love, the king gives his consent. The film tells about the fate of people who commit rash acts, the consequences of which make you regret them.",https://static.tildacdn.com/tild6365-3464-4465-a639-663637346536/__2022-09-26__171003.png,2015,J. Nurbekuly,,,Судьба,"Фильм по мотивам турецкой народной сказки, В фильме описывается сложные отношения между царем и принцем, и дочери повара царского дворца. Принц влюбляется в повариху. Не одобривший выбор своего сына- принца король совершает покушение на девушку - повариху",Ж.Нурбекулы,
14,Animation,Muzbalak,"T. Maidan, T. Toleugazy. 2015","A long time ago, through the fault of people, a snake wakes up, which gradually turns into a dragon. The snake crawls out of the cave and begins to sweep away nearby villages, devours the inhabitants, generating unprecedented fear. And only one golden eagle enters the fight to protect his chick. In this struggle, the golden eagle wins and the snake disappears into its cave. The golden eagle, taking its chick, flies far away. And the snake remains hiding in its lair, biding its time. Years pass, and the snake crawls out of the cave again?",https://static.tildacdn.com/tild6431-6539-4333-b035-666564363936/mqdefault.jpeg,2015,"T. Maidan, T. Toleugazy",https://www.youtube.com/embed/sy7LC-rJvJ8,"2018 - ""Kulager"" in the category ""Best Animated Film"".
 2019 - Special Jury Prize, 14th International Film Festival ""In the Family Circle"", Russia, 2019.
 2019 - ""Best Animated Film"" from the German Animation Film Institute (DIAF), 24th International Children's and Youth Film Festival Schlingel, Germany, 2019.",Музбалак,"Давным-давно по вине людей просыпается змея, которая постепенно превращается в дракона. Змея выползает из пещеры и начинает сметать близлежащие аулы, пожирает жителей, порождая невиданный страх. И только один беркут вступает в борьбу, чтобы защитить своег","Т. Майдан, Т. Толеугазы","2018 - «Кулагер» в категории «Лучший анимационный фильм».
2019 - Специальный приз жюри, 14 МКФ «В кругу семьи», Россия, 2019.
2019 - «Лучший анимационный фильм» от Немецкого института анимационных фильмов (DIAF), 24-й МКФ детских и юношеских фильмов Schlingel, Германия, 2019."
15,Animation,Kultegin,A. Abildinov. 2018,"About the young years of Kultegin (also known as Kul Tigin), a prominent military leader of the Turkic Khaganate who united numerous nomadic ethnic groups under one flag and carried on the traditions of the great nomadic empire.",https://static.tildacdn.com/stor3437-3535-4666-a462-653166653635/19876811.png,2018,A. Abildinov,https://www.youtube.com/embed/YMc6l3jVv2Y,"The prize ""The best student work"" (ICF ""Stars of Shaken"", 2009), the Prize of the ICF ""KROK"" (Moscow, 2010).
 Prize of the International Film Festival ""Islamic Cinema"" (Kazan, Tatarstan, 2011) Grand Prix of the International Film Festival ""Bastau"" (Almaty, 2011).
 Prize of the first animation festival ""Karlygash"" (Almaty, 2016).",Кюльтегин,"Великое тюркское государство, объединенное Союзом трех племен, оказывается под угрозой распада. Великий Каган Елтерис, сохранявший единство тюрков, погибает от рук предателей, которые стремятся стать правителями нового государства. Сын Елтерис кагана, нас",А. Абильдинов,"Приз «Лучшая студенческая работа» (МКФ «Звезды Шакена», 2009), Приз МКФ «КРОК» (Москва, 2010).
Приз МКФ «Исламское кино» (Казань, Татарстан, 2011), Гран-при МКФ «Бастау» (Алматы,2011).
Приз первого анимационного фестиваля «Карлыгаш» (Алматы, 2016)."
16,Animation,My name is Kozy,"K. Nagyz, I. Ardashov, M. Kodarov, D. Rakhmatullin. 2018","Little Kozy spends all day at the computer playing virtual games. Until one fine day, the father decides to send his son to the village to his grandparents. Kozy does not want to part with his prefix, but he has to leave it at home and go to the village. In the village, he is not comfortable, and in some places even scared. But the boy accidentally meets a girl from a neighbor's yard, and they develop a friendship. The girl is incredibly sociable. The goats, the girl and the little puppy become friends. In the evening, when the father arrives for his son, Kozy no longer wants to leave, and he remains in the village, continuing the fun games with his new, вЂњliveвЂќ friends ...",https://static.tildacdn.com/stor6666-6361-4139-b337-393230666332/33969642.png,2018,"K. Nagyz, I. Ardashov, M. Kodarov, D. Rakhmatullin.",,,Меня зовут Козы,"Маленький Козы весь день проводит за компьютером, играя в виртуальные игры. Пока в один прекрасный день, отец не решает отправить сына в деревню к бабушке с дедушкой. Козы не хочет расставаться со своей приставкой, но ему приходится оставить ее дома и отп","К. Наргыз, И. Ардашов, М. Кодаров, Д. Рахматуллин",
17,Animation,Why does the swallow have a horn tail?,A. Khaidarov. 1967,"About how the swallow saved the life of a Man. In ancient times, a mighty black dragon lived high in the mountains. But gradually he grew old and decrepit. His retinue called the Fox healer. After the inspection, the Fox declared: Power will return to the ruler again, like flowering, living blood. The fox gave a magical vessel to Komaru and ordered him to fly and taste the blood of all living beings, and drip one drop of blood into the vessel, which would show which blood suits best. The mosquito flew and bit everyone in its path. Finally, he flew to the dwellings of people and bit the child. The magical vessel lit up and a satisfied Mosquito flew back to the Dragon. The swallow, whose nest was near the dwelling of people, flew in pursuit of the Mosquito. First, she managed to take away and break a vessel with blood. She caught up with the mosquito and swallowed it already in the palace. The dragon chased the Swallow and bit off the middle part of the tail, then, in the heat of the chase, broke through the window and fell from a height onto the stones, where it crashed into many poisonous snakes. The swallow returned home, and her tail forever remained horns.",https://static.tildacdn.com/stor6432-6130-4636-b531-663463653263/38946054.png,1967,A. Khaidarov,,,Почему у ласточки хвост рожками?,"О том, как ласточка спасла жизнь Человеку. В давние времена высоко в горах жил могучий чёрный Дракон. Но постепенно он постарел и одряхлел. Его свита позвала Лиса-лекаря. После осмотра Лис заявил: Мощь вернёт властелину вновь, как цветенье, живая кровь. Л",А. Хайдаров,
18,Animation,Aksak kulan,A. Khaidarov. 1968,The legend tells about one of the most tragic pages in the history of the Kazakh people - the invasion of countless hordes of Genghis Khan into the vast expanses of the Kazakh steppes.,https://static.tildacdn.com/stor6531-3838-4033-b761-383932663632/75907947.jpg,1968,A. Khaidarov,,,Аксак кулан,Легенда повествует об одной из самых трагических страниц истории казахского народа - вторжении несметных полчищ Чингисхана в безбрежные просторы казахских степей.,А. Хайдаров,
19,Animation,Bear and hare,G. Kistauov. 1969,"A film for the little ones, based on Kazakh folk tales about the triumph of good over evil.",https://static.tildacdn.com/stor3162-3135-4664-b961-326163643362/25631708.png,1969,G. Kistauov,,,Медведь и заяц,"Фильм для самых маленьких, созданный по мотивам народных казахских сказок о торжестве добра над злом.",Г. Кистауов,
20,Animation,Kuyyrshyk,A. Khaidarov. 2002,"In ancient times, there lived an old man and an old woman. But they had no children... And this misfortune alone would have been enough for the unfortunate, and the gray wolf also carried a goat into the forest - the only breadwinner. The old man went to look for her, but found only a goat's tail. The old people grieved for a long time, shed streams of tears, and one tear fell right on the tail - and the tail turned into a tiny boy ... They called the boy Kuyyrshak - Tail",https://static.tildacdn.com/stor3435-6165-4638-b031-303332656232/83685557.png,2002,A. Khaidarov,,,NULL,NULL,NULL,NULL
